N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8605093120486507,0.8323125162337459,0.8237487863339554,0.22171945701357465,0.639909133168937,0.3145528948666888
Model2,500,2,1,0.8440390219181553,0.8171033508299704,0.8284683681547629,0.35444947209653094,0.4059106847568386,0.37012032029033337
Model3,500,3,1,0.8611427847459775,0.8336988644256222,0.8449897251528122,0.4072398190045249,0.4552780821353214,0.41920976576444297
Model4,500,1,2,0.8899024452046117,0.877414726841081,0.8724919483170765,0.42232277526395173,0.7504783975372211,0.5285969038572954
Model5,500,2,2,0.8840744963892057,0.8994986943860634,0.8895173971503123,0.6975867269984917,0.5906432132818733,0.6327249770704662
Model6,500,3,2,0.9030786773090079,0.9006189907951164,0.8875538621347736,0.4502262443438914,0.8785652056097563,0.5897343691512612
Model7,800,1,2,0.8948435322437603,0.8891860294546939,0.8817261969908553,0.5052790346907994,0.7313858195550198,0.5606860926412567
Model8,800,2,2,0.9158748257950082,0.9123810060920357,0.9107285070970077,0.6817496229260935,0.7296782825424583,0.6857283545449914
Model9,800,3,2,0.9147345749398201,0.9088079070179361,0.9052109873468162,0.5384615384615384,0.8237178319045091,0.6474516584918564
