N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8716584315216014,0.8451131965971863,0.850541671218181,0.334841628959276,0.555696306789231,0.40627032731693313
Model2,500,2,1,0.8749524895477004,0.8604059069269825,0.8653909625074394,0.4358974358974359,0.5558005397302901,0.4845113657635158
Model3,500,3,1,0.8534144178385912,0.8540398810981873,0.8508113802683445,0.471342383107089,0.4045256917211748,0.42084582671960274
Model4,500,1,2,0.9095400988217408,0.9005084368553484,0.9019718621142152,0.6033182503770739,0.6380053958367525,0.6029027280700138
Model5,500,2,2,0.919802356518434,0.9131633328403783,0.9134321235599232,0.6455505279034691,0.692699604499443,0.6513580227227465
Model6,500,3,2,0.9141011022424933,0.9261613171531974,0.9187814785425616,0.6892911010558069,0.6778809050775005,0.6759127538949772
Model7,800,1,2,0.9040922336247308,0.9002193880294647,0.8959319593172695,0.5957767722473605,0.6189147159760072,0.5704103335880786
Model8,800,2,2,0.924870138097048,0.9242120862756328,0.9218855805416684,0.6455505279034691,0.7698813209032255,0.6927663285357957
Model9,800,3,2,0.9115672114531864,0.92504134250654,0.9160763849400159,0.7549019607843137,0.6479333927401645,0.6899943399076458
